,gameID,playerID,decision,savePercentage,PPSave%,evenSave%,play_id,strength,gameWinningGoal,emptyNet,PKSavePercentage
8852,2014020640.0,8471679.0,W,87.5,0.0,92.30769231,2017020760_146,Power Play,False,False,100.0
8851,2014021037.0,8474765.0,L,92.10526316,60.0,96.875,2017020760_141,Even,False,False,100.0
8848,2014020099.0,8473523.0,L,94.87179487,33.33333333,100.0,2017020760_56,Even,False,False,100.0
8842,2014020076.0,8473972.0,W,97.14285714,100.0,96.66666667,2016020783_246,Even,False,False,100.0
8835,2014020728.0,8475852.0,W,95.65217391,83.33333333,100.0,2017021092_267,Even,False,False,100.0
8857,2014020066.0,8475361.0,W,100.0,100.0,100.0,2017020525_54,Power Play,False,False,100.0
8834,2014020728.0,8473434.0,L,78.94736842,60.0,84.61538462,2017021092_215,Power Play,True,False,100.0
8833,2014020618.0,8475683.0,L,87.5,100.0,82.75862069,2017021092_192,Even,False,False,100.0
8832,2014020618.0,8473434.0,W,88.88888889,66.66666667,92.85714286,2017021092_137,Power Play,False,False,100.0
5890,2017020646.0,8476945.0,W,96.875,87.5,100.0,2017020061_279,Power Play,False,False,100.0
8819,2014021221.0,8473541.0,L,90.90909091,100.0,86.95652174,2015020432_160,Even,False,False,100.0
8818,2014021221.0,8471679.0,W,86.36363636,100.0,84.21052632,2015020432_123,Even,False,False,100.0
8816,2014021150.0,8473461.0,W,96.0,100.0,95.45454545,2015020432_91,Even,False,False,100.0
8856,2014020066.0,8473541.0,L,96.875,100.0,95.83333333,2017020760_273,Even,False,False,100.0
8858,2014020293.0,8476844.0,W,89.28571429,100.0,87.5,2017020525_101,Power Play,False,False,100.0
8808,2014020024.0,8471679.0,W,90.625,87.5,90.0,2017020641_161,Even,False,False,100.0
8881,2014021125.0,8471227.0,W,96.875,100.0,95.83333333,2017021244_22,Power Play,False,False,100.0
5863,2016021200.0,8477424.0,W,90.90909091,100.0,89.28571429,2017020809_31,Power Play,False,False,100.0
8898,2014020273.0,8474636.0,W,95.45454545,66.66666667,100.0,2017020563_21,Even,False,False,100.0
5865,2016021200.0,8470140.0,L,80.76923077,83.33333333,78.94736842,2017020809_84,Even,False,False,100.0
8892,2014020098.0,8470320.0,L,79.16666667,100.0,76.19047619,2017020498_314,Even,False,False,100.0
8891,2014020168.0,8473575.0,L,90.90909091,100.0,86.95652174,2017020498_202,Even,True,False,100.0
8889,2014021074.0,8471715.0,W,100.0,100.0,100.0,2016020244_247,Even,False,False,100.0
8885,2014021142.0,8471695.0,W,91.66666667,66.66666667,94.73684211,2017021244_253,Even,False,False,100.0
8878,2014020656.0,8475683.0,L,92.30769231,100.0,88.88888889,2017021233_180,Even,False,False,100.0
5879,2015020131.0,8471734.0,W,96.0,100.0,95.23809524,2015020959_317,Even,False,True,100.0
8875,2014020135.0,8470320.0,L,87.5,75.0,89.47368421,2017021075_245,Power Play,False,False,100.0
8873,2014020396.0,8474651.0,W,97.05882353,100.0,96.55172414,2017021075_181,Even,True,False,100.0
5871,2017020743.0,8476945.0,W,87.87878788,85.71428571,88.0,2017020809_326,Even,True,False,100.0
8868,2014020330.0,8475717.0,L,93.33333333,83.33333333,96.77419355,2016020167_157,Even,False,False,100.0
8865,2014020197.0,8476839.0,W,93.5483871,100.0,92.85714286,2016020167_39,Even,False,False,100.0
8864,2014020213.0,8471734.0,W,94.73684211,100.0,92.85714286,2016020167_6,Even,False,False,100.0
